rank,seller_id,title,slug,products_seen
262,7887,Декоратор - товары на все случаи жизни,dekorator,42
263,52441,WorldPrice,worldprice,41
264,25185,BUMBLEBEE,bumblebee,41
265,3274,UNIWOOD,uniwoodshop,40
266,17684,Мишутка,mishutkatoys,40
267,41155,BaBy_BOOM:),baby3,40
268,44046,КАНЦПАР,canpar,40
269,17015,N-Market,n-market,40
270,77433,РазвиВаня,razvivay,40
271,22489,el-ekb,el-ekb,40
272,77094,Positive Emotion,positiveemotion,40
273,68411,Веб-супермаркет стильных товаров для дома и отдыха,allios-td,39
274,76689,"ООО ""ХэппиЛенд""",httpshappy-landscom,39
275,57786,Funny Games,funnygames,38
276,37730,Kroshka Antoshka,kroshkaantoshka16,38
277,67654,Perfect Shopping,rd,38
278,26545,Imall-toys - Магазин игрушек для детей,itoys,38
279,25382,Антистресс магазин,antistress,38
280,30175,CORNER_SHOP,corner,38
281,25877,ПРОФИТ,profit-zip,38
282,18224,POPit - анститресс игрушки,popit,38
283,56581,OktShop2,oktshop2,38
284,82622,Лабубу,labubu,38
285,73607,Crackin’ Eggs,crackineggs,38
286,85964,Dr.Ortman,dr-ortman,38
287,19084,Maxitoys,maxitoys,38
288,32393,Home is,homeis,38
289,78082,IQ Эксперимент,iqexperiment,37
290,14202,"""Восторг""",vostorg1,37
291,18496,good toys,goodtoys,37
292,67962,BravoBambino,bravobambino,36
293,27959,Quality_shop,magnolia,36
294,39030,Детские эмоции,igrushki-deti,36
295,8225,Олень_и_Vodka,olenevodka,36
296,52687,Bauеr,bayer,36
297,26705,ВЕСНА фабрика игрушек,vesnatoys,36
298,32415,ZaCчастье,zaschastye,36
299,37526,UPGRAUNDE,upgraunde,36
300,79640,Cotton Candykins,cottoncandykins,36
301,21519,AnRen,887anren,36
302,70852,ORBISTRIKE,orbistrike,35
303,26445,BabyMi,babymi,35
304,479,Online Store,online-store,35
305,9212,Дисконт,dom,35
306,67842,KAMA_YS,kamays,35
307,53634,Baby shop.,babys,34
308,60581,ArToday,artoday,34
309,56944,Рыбаки-путешественники,rybak,34
310,61254,Буратино,18031995,34
311,19193,SKIBIDI TOYS,skibiditoys,34
312,29048,GIZHOME,gizhome,34
313,30814,ToysCore,toyscore,34
314,15672,Hot Wheels,hotwheels,34
315,7080,BalaToys,balatoys,34
316,25509,Wizard,wizard,34
317,23718,Toy*store,toystore1,34
