rank,product_id,title,sold,price,active,rating
213,45705,"Настольная семейная игра ""Быстрые стаканчики""",36,1124.1,11,5.0
214,2976834,"Кружка керамическая детская, сувенирная, 350 мл Супер-мен, Человек-паук Marvel",35,454.09,22,5.0
215,537528,"Жилет для плавания детский ""Тропические приятели""  3-5 лет",35,450.0,0,5.0
216,2539424,"Книжка - шуршалка по методике Г. Домана,Чёрно-белые картинки для малышей , Животные",34,441.0,57,0.0
217,367773,"Шнуровка Гоня ""Три кота""",34,149.0,0,5.0
218,2071821,"Конструктор металлический Стройка, Кран, Трактор, Самосвал",33,545.09,46,0.0
219,1008855,"Раскраски антистресс, Дыхание весны, 6 листов 29,5х19 см",33,165.0,0,5.0
220,903391,"Магниты новогодние ""Магнитные истории: Дед мороз, Снегурочка, Ёлочка""",33,199.0,15,4.8
221,348068,"Новогодняя игрушка для раскрашивания ""Ёлочные украшения"" Домик Деда Мороза",33,255.0,0,5.0
222,30518,"Металлофон, 8 нот",33,450.0,0,5.0
223,13255,"Магнитный конструктор ""Смешные лица""",33,750.0,0,5.0
224,2547763,"Мелки цветные ""Смешарики"", Тачки, Принцесса",32,69.0,73,0.0
225,2449674,"Набор для девочек: временная тату, заколки, браслетик, Единорог, Котёнок, Корги",32,199.0,24,5.0
226,2394763,"Кубики мягкие для малышей Синий трактор: Зверята, кубики, 4 шт, 8 см",32,590.0,19,5.0
227,509659,"Круг надувной для плавания 51 см, 3-6лет INTEX",32,190.0,0,5.0
228,418078,"Пирамидка ""Ёлочка""",32,500.5,2,0.0
229,417270,"Игровой набор ""Стирка""",32,549.0,0,5.0
230,323348,"Игры с прищепками ""Фрукты-овощи""",32,391.5,6,5.0
231,309719,"Каталка "" Коровка "" развивающая деревянная игрушка",32,375.0,0,4.5
232,487978,Деревянная игрушка Сортер,31,549.0,0,4.8
233,2793019,Карнавальная шляпа Ведьмы - Колдуньи на Хэллоуин. Паутина и Ведьмочка,30,499.0,0,5.0
234,2547739,"Химические опыты, эксперименты. Полимерные червячки, Коралловый риф, Смешарики, Мимимишки",30,299.0,9,5.0
235,1969380,"Компактные развивающие игры в дорогу для малышей ""Учимся считать, читать и писать""",30,549.0,0,5.0
236,1965154,"Конструктор крупный для малышей ""Трактор"", ""Пожарная машина"", большие детали",30,1237.1,9,5.0
237,1813659,"Магнитная игра Сказка Колобок ""В гостях у сказки""",30,349.0,0,0.0
238,1375303,Пирамидка деревянная развивающая игрушка для малышей,30,399.0,0,5.0
239,1185559,"Набор для рисования Bondibon ""Художник светом"". Рисуй светом в темноте",30,750.0,0,4.0
240,949725,"Планер на неделю. Доска маркерная двусторонняя на подвесе, с маркером",30,249.0,0,5.0
241,907518,"Открытка новогодняя своими руками светящаяся. Снеговичок, Ёлочка. Набор для опытов",30,199.0,0,5.0
242,800197,"Игра-викторина ""Любимые сказки"" серия Умная Сова от Bondibon",30,799.0,0,5.0
243,673006,"Конструктор с инерционным механизмом гоночная машина, экскаватор, внедорожник",30,190.0,0,0.0
244,507101,"Набор игрушек для купания ""Играем в воде"", рыбалка. Сачок и три рыбки",30,319.0,0,5.0
245,416628,"Детское домино ""Животные""",30,420.0,2,0.0
246,13276,"Пазлы - вкладыши деревянные, фигуры",30,550.0,0,5.0
247,2280409,"Кружка новогодняя, под роспись, ""Снеговик, Пингвины с красками""",29,399.0,2,5.0
248,2234041,Слайм  с блестками разноцветный 19 см большой,29,299.0,0,5.0
249,2212965,"Дубль, Дуббль, настольная детская игра Дабл Алфавит",29,399.0,21,0.0
250,1832503,"Набор для шитья ""Мягкая игрушка своими руками"" Лисичка, Мишка, Зайчик",29,615.12,25,4.8
251,1010297,"Кубики детские с картинками , 6 штук  Герои Дисней ""Пушистые истории. Королевские питомцы""",29,230.0,1,5.0
252,49050,Музыкальный инструмент Бубен,29,270.0,0,4.8
253,2793264,Карнавальная шляпа - конус на Хэллоуин Ведьмочка / Ведьма,28,369.0,6,4.5
254,2427107,"Сумка детская для девочки плюшевая с ручкой Единорог, Котёнок",28,444.11,2,5.0
255,2394570,"Конструктор Динозавры ""Трицератопс и бронтозавр"", звуковые эффекты",28,990.0,2,5.0
256,2324757,Декор Новогодний своими руками. Чайный домик. Зимний домик,28,690.0,0,5.0
257,417018,"Пирамидка ""Счёты""",28,390.0,0,4.0
258,348104,"Набор для творчества Bondibon ""Ёлочные украшения"" (паровоз, снеговик, колокольчик, лошадка)",28,549.0,1,0.0
259,38902,Компактные развивающие игры в дорогу САМЫЙ БЫСТРЫЙ от Bondibon,28,750.0,0,5.0
260,2761366,"Хэллоуин. Пазл Ужасно милые корги, Ведьма, Ведьмочка, 54 элемента",27,99.0,23,0.0
261,1024152,"Счетный материал ""Палочки для счета"", 50 штук",27,185.0,3,0.0
262,972539,Шпионская мафия,27,185.0,0,0.0
263,903450,"Магнитики новогодние С Новым годом! Магниты Дед мороз, ёлочка, снегурочка, снежинки",27,265.0,0,5.0
264,903367,Логика с пеленок. Развивающая игра Пиши-Стирай,27,495.0,12,5.0
265,522626,Надувной круг для плавания Big Animal 72*66см 3-6 лет,27,390.0,0,5.0
266,438427,"Пазлы детские деревянные  для малышей ""Животные "", 4 картинки в наборе",27,420.0,20,5.0
267,1008331,Игра для детей Сорви башню (цветная)/ Падающая башня,26,612.0,7,5.0
268,234058,Зубастый динозавр cо светом и звуком настольная игра BONDIBON,26,1305.0,6,3.7
269,38891,Компактные развивающие игры в дорогу ЛОГИЧЕСКИЕ ИГРЫ Bondibon,26,620.0,0,0.0
270,2680595,"Раскраска -книжка детская. Соник, Котёнок, Тигренок, Пони, Единорог, Чебурашка, Щенок",25,149.0,60,0.0
271,1009744,"Шахматы, шашки, Словодел  3 игры в 1 Магнитные умные игры в дорогу",25,759.0,0,5.0
272,978469,"Детская настольная командная игра ""Зловещая мафия""",25,185.0,0,0.0
273,965661,"Детский коврик ""Автодорога"" +2 деревянные машинки",25,890.0,0,5.0
274,901437,"Рисовалки, обводилки. 72 задания, 36 многоразовых карточек. Пиши-Стирай",25,495.0,0,0.0
275,424627,"Деревянная игрушка - шнуровка Изюм,  ""Три кота""",25,175.0,0,5.0
276,2377508,"Конструктор, кубики Синий трактор: Алфавит, 9 шт",24,390.0,16,5.0
277,932203,"Карточная настольная игра ""Вампирская мафия""",24,245.0,1,0.0
278,925140,Детское Деревянное лото Домашние и дикие животные,24,415.0,0,3.0
279,925125,"Лото детское ""Овощи, фрукты, ягоды"" деревянное. Настольная детская игра",24,395.0,0,0.0
280,924332,"Настольная развивающая игра для малышей ""Лото детское. Половинки""",24,380.0,0,5.0
281,512278,Радужные мыльные пузыри,24,99.0,0,5.0
282,509533,"Круг надувной Animal с разъемными концами, 3-6лет",24,350.0,0,0.0
283,457121,"Лабиринт ""Рыбка""",24,472.5,1,5.0
284,424614,"Часики-сортер ""Три кота"", детские обучающие часы",24,681.59,3,5.0
